from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
34,renewable,3,demand,0.0,,0.0,30.470009051534337,won4,dem3,Potential connection: Renewable cluster 34 to Demand cluster 3,potential_renewable34-demand3,renewable34,demand3,potential,30.470009051534337,0.0,0.0,False,[]
35,renewable,3,demand,0.0,,0.0,76.0334054342191,won5,dem3,Potential connection: Renewable cluster 35 to Demand cluster 3,potential_renewable35-demand3,renewable35,demand3,potential,76.0334054342191,0.0,0.0,False,[]
36,renewable,3,demand,0.0,,0.0,57.48157578647568,won6,dem3,Potential connection: Renewable cluster 36 to Demand cluster 3,potential_renewable36-demand3,renewable36,demand3,potential,57.48157578647568,0.0,0.0,False,[]
38,renewable,1,generation,0.0,,0.0,108.6837070926541,won8,gen1,Potential connection: Renewable cluster 38 to Generation cluster 1,potential_renewable38-generation1,renewable38,generation1,potential,108.6837070926541,0.0,0.0,False,[]
4,renewable,2,generation,0.0,,0.0,51.46859427902496,sol4,gen2,Potential connection: Renewable cluster 4 to Generation cluster 2,potential_renewable4-generation2,renewable4,generation2,potential,51.46859427902496,0.0,0.0,False,[]
41,renewable,4,demand,0.0,,0.0,80.49759955717047,won11,dem4,Potential connection: Renewable cluster 41 to Demand cluster 4,potential_renewable41-demand4,renewable41,demand4,potential,80.49759955717047,0.0,0.0,False,[]
42,renewable,4,demand,0.0,,0.0,197.66073250953892,won12,dem4,Potential connection: Renewable cluster 42 to Demand cluster 4,potential_renewable42-demand4,renewable42,demand4,potential,197.66073250953892,0.0,0.0,False,[]
43,renewable,4,generation,0.0,,0.0,36.403422946691926,won13,gen4,Potential connection: Renewable cluster 43 to Generation cluster 4,potential_renewable43-generation4,renewable43,generation4,potential,36.403422946691926,0.0,0.0,False,[]
46,renewable,2,generation,0.0,,0.0,23.698129774035717,won16,gen2,Potential connection: Renewable cluster 46 to Generation cluster 2,potential_renewable46-generation2,renewable46,generation2,potential,23.698129774035717,0.0,0.0,False,[]
48,renewable,2,demand,0.0,,0.0,25.257724722211698,won18,dem2,Potential connection: Renewable cluster 48 to Demand cluster 2,potential_renewable48-demand2,renewable48,demand2,potential,25.257724722211698,0.0,0.0,False,[]
5,renewable,0,generation,0.0,,0.0,53.78779587559456,sol5,gen0,Potential connection: Renewable cluster 5 to Generation cluster 0,potential_renewable5-generation0,renewable5,generation0,potential,53.78779587559456,0.0,0.0,False,[]
50,renewable,3,generation,0.0,,0.0,36.45617557197278,won20,gen3,Potential connection: Renewable cluster 50 to Generation cluster 3,potential_renewable50-generation3,renewable50,generation3,potential,36.45617557197278,0.0,0.0,False,[]
56,renewable,0,generation,0.0,,0.0,128.81201548768982,won26,gen0,Potential connection: Renewable cluster 56 to Generation cluster 0,potential_renewable56-generation0,renewable56,generation0,potential,128.81201548768982,0.0,0.0,False,[]
58,renewable,4,demand,0.0,,0.0,133.42735589919283,wof0,dem4,Potential connection: Renewable cluster 58 to Demand cluster 4,potential_renewable58-demand4,renewable58,demand4,potential,133.42735589919283,0.0,0.0,False,[]
59,renewable,3,demand,0.0,,0.0,179.0767727813361,wof1,dem3,Potential connection: Renewable cluster 59 to Demand cluster 3,potential_renewable59-demand3,renewable59,demand3,potential,179.0767727813361,66.39925282903474,0.3707865168539326,True,['ocean']
60,renewable,3,demand,0.0,,0.0,366.4070162643609,wof2,dem3,Potential connection: Renewable cluster 60 to Demand cluster 3,potential_renewable60-demand3,renewable60,demand3,potential,366.4070162643609,156.1734823421866,0.4262295081967213,True,['ocean']
61,renewable,3,demand,0.0,,0.0,380.9736028307097,wof3,dem3,Potential connection: Renewable cluster 61 to Demand cluster 3,potential_renewable61-demand3,renewable61,demand3,potential,380.9736028307097,206.52779521875317,0.5421052631578948,True,['ocean']
62,renewable,3,demand,0.0,,0.0,234.19577222586423,wof4,dem3,Potential connection: Renewable cluster 62 to Demand cluster 3,potential_renewable62-demand3,renewable62,demand3,potential,234.19577222586423,62.05187127351958,0.26495726495726496,True,['ocean']
63,renewable,3,demand,0.0,,0.0,462.3210682114254,wof5,dem3,Potential connection: Renewable cluster 63 to Demand cluster 3,potential_renewable63-demand3,renewable63,demand3,potential,462.3210682114254,228.15844924719696,0.4935064935064935,True,['ocean']
