GEM location ID,bus_id,bus_name
L100000827551,way/172362099-275,Para
L100000827552,way/172362099-275,Para
L100000827487,way/172362099-275,Para
L100001023763,way/196583889-275,Chalumbin
L100000805662,way/169408193-330,MountPiper
L100000805689,way/172887193-330,BulliCreek
L100000805630,way/169408193-330,MountPiper
L100001045268,way/160201298-330,Armidale
L100001045344,way/172231145-330,Wagga
L100001045305,way/64943050-500,SouthMorang
L100000805477,way/223939702-220,Merredin
L100000809150,way/169408193-330,MountPiper
L100001023947,way/925410265-330,SydneyWest
L100001023978,way/172362099-275,Para
L100001080339,way/64943050-500,SouthMorang
L100000805571,way/160201298-330,Armidale
L100000809151,way/196583889-275,Chalumbin
L100001023680,way/164775125-275,Robertstown
L100001023688,way/164775125-275,Robertstown
L100001023704,way/172362099-275,Para
L100001019913,way/160201298-330,Armidale
L100000805659,way/121646942-275,Broadsound
L100001080294,way/64943050-500,SouthMorang
L100001080377,way/169794711-220,Balranald
L100000827553,way/169794711-220,Balranald
L100001048610,way/550221344-275,WandoanSouth
L100000805642,way/171486427-275,Bouldercombe
L100001045311,way/64943050-500,SouthMorang
L100000827554,way/164764363-275,Davenport
L100001080367,way/172362099-275,Para
L100001019645,way/64943050-500,SouthMorang
L100000805437,way/169408193-330,MountPiper
L100000805663,way/655511604-330,Canberra
L100001023847,way/570175005-220,Rowville
L100001080324,way/64943050-500,SouthMorang
L100000827555,way/169408193-330,MountPiper
L100000827488,way/925410265-330,SydneyWest
L100000805461,way/172887193-330,BulliCreek
L100000827556,way/185835127-275,OlympicDamWest
L100000827557,way/164775125-275,Robertstown
L100000827558,way/164775125-275,Robertstown
L100000827559,way/164775125-275,Robertstown
L100000827560,way/164775125-275,Robertstown
L100001019871,way/312550977-500,Tarrone
L100001023859,way/655511604-330,Canberra
L100000805560,way/119995150-275,Calvale
L100001080296,way/312550977-500,Tarrone
L100000827562,way/655511604-330,Canberra
L100001055910,way/64943050-500,SouthMorang
L100000805561,way/64943050-500,SouthMorang
L100000805643,way/170709510-275,Tarong
L100000805691,way/583513574-330,Morawa
L100001048601,way/583513574-330,Morawa
L100000827563,way/172362099-275,Para
L100001080354,way/172362099-275,Para
L100001023990,way/172362099-275,Para
L100001061243,way/169416665-220,DarlingtonPoint
L100001045270,way/89180086-220,Ballarat
L100001045307,AU73-330,CentralCoast
L100000805664,way/172587651-275,Brisbane
L100000827565,way/164775125-275,Robertstown
