GEM location ID,bus_id,bus_name
L100001054805,way/287685850-420,Trondheim
L100001061371,NO41-420,Volda
L100000602984,NO90-420,Skien
L100001023180,way/287685850-420,Trondheim
L100000602985,NO69-420,Voss
L100001061403,NO31-420,Alesund
L100000602986,NO31-420,Alesund
L100000602987,NO31-420,Alesund
L100001023181,relation/8527323-420,Stjordalshalsen
L100001023182,NO90-420,Skien
L100000602988,relation/8886202-420,Froyland
L100000602989,relation/8890887,Egersund
L100000602990,relation/7883882-300,Notodden
L100001046206,way/297388897-300,Ringsaker
L100000602991,relation/8890887,Egersund
L100000602992,way/297388897-300,Ringsaker
L100000602993,NO27-420,Kristiansund
L100001056487,way/400655824-300,NOR65p0N13p2E
L100000602994,way/400655824-300,NOR65p0N13p2E
L100001023183,NO31-420,Alesund
L100001056488,relation/8527323-420,Stjordalshalsen
L100000602995,NO46-300,NOR61p5N7p6E
L100000602996,NO69-420,Voss
L100001054806,way/287685850-420,Trondheim
L100000602997,relation/7847764-420,NOR60p4N8p6E
L100001054807,relation/7847764-420,NOR60p4N8p6E
L100000602998,relation/7847764-420,NOR60p4N8p6E
L100001061408,relation/7847764-420,NOR60p4N8p6E
L100000602999,way/114414014-420,Fredrikstad
L100001023184,NO60-300,Lindas
L100001023185,relation/8527323-420,Stjordalshalsen
L100000603000,relation/7883882-300,Notodden
L100001061411,way/287115458-300,Drammen
L100001054808,NO90-420,Skien
L100001023186,NO46-300,NOR61p5N7p6E
L100001054791,way/358915801-420,Arendal
L100001054799,NO60-300,Lindas
L100001054801,relation/7928148,Kristiansand
L100001023171,relation/7928148,Kristiansand
L100001061430,NO41-420,Volda
L100001061407,NO18-420,Bodo
L100001061369,NO41-420,Volda
L100001061370,NO41-420,Volda
L100001061402,NO31-420,Alesund
L100001061404,NO31-420,Alesund
