GEM location ID,bus_id,bus_name
L100001078571,way/172934497-380,Konya
L100001078600,way/172934497-380,Konya
L100001078657,way/172934497-380,Konya
L100001078679,way/172934497-380,Konya
L100001078733,way/172934497-380,Konya
L100001078753,way/172934497-380,Konya
L100001078760,way/172934497-380,Konya
L100001078772,way/172934497-380,Konya
L100001078802,way/172934497-380,Konya
L100001078884,way/172934497-380,Konya
L100001078806,way/172934497-380,Konya
L100001078818,way/172934497-380,Konya
L100001078826,way/172934497-380,Konya
L100001078877,way/172934497-380,Konya
L100001078912,way/172934497-380,Konya
L100001078916,way/172934497-380,Konya
L100001078920,way/172934497-380,Konya
L100001078928,way/172934516-380,Beysehir
L100001078930,way/172934516-380,Beysehir
L100001078976,way/172934497-380,Konya
L100001078933,way/172934497-380,Konya
L100001078934,way/172934497-380,Konya
L100001078956,way/172934497-380,Konya
L100001078975,way/172934516-380,Beysehir
L100001078995,way/172934497-380,Konya
L100001079034,way/172934497-380,Konya
L100001079040,way/172934497-380,Konya
L100001079050,way/172934497-380,Konya
L100001079056,way/172934516-380,Beysehir
L100001079089,way/172934497-380,Konya
L100001079064,way/172934497-380,Konya
L100001079069,way/172934497-380,Konya
L100001079078,way/172934497-380,Konya
L100001079087,way/172934497-380,Konya
L100001077810,way/172934516-380,Beysehir
L100001077827,way/172934497-380,Konya
L100001077832,way/172934497-380,Konya
L100001077855,way/172934497-380,Konya
L100001077871,way/172934497-380,Konya
L100001079092,way/172934497-380,Konya
L100001079104,way/172934497-380,Konya
L100001079107,way/172934497-380,Konya
L100001079119,way/172934497-380,Konya
L100001079125,way/172934497-380,Konya
L100001079158,way/172934497-380,Konya
L100001079128,way/172934497-380,Konya
L100001079137,way/172934497-380,Konya
L100001079147,way/172934516-380,Beysehir
L100001079156,way/172934497-380,Konya
L100001077935,way/172934497-380,Konya
L100001077959,way/172934497-380,Konya
L100001077966,way/172934497-380,Konya
L100001077968,way/172934497-380,Konya
L100001077993,way/172934497-380,Konya
L100001078402,way/172934497-380,Konya
L100001078405,way/172934497-380,Konya
L100001078445,way/172934497-380,Konya
L100001078454,way/172934516-380,Beysehir
L100001078455,way/172934497-380,Konya
L100001078538,way/172934497-380,Konya
L100001078460,way/172934497-380,Konya
L100001078471,way/172934497-380,Konya
L100001078502,way/172934497-380,Konya
L100001078519,way/172934497-380,Konya
L100001077970,way/172934497-380,Konya
L100001077973,way/172934497-380,Konya
L100001077975,way/172934497-380,Konya
L100001077985,way/172934497-380,Konya
L100001078014,way/172934497-380,Konya
L100001078108,way/172934516-380,Beysehir
L100001078156,way/172934497-380,Konya
L100001078163,way/172934497-380,Konya
L100001078200,way/172934497-380,Konya
L100001078270,way/172934516-380,Beysehir
L100001078201,way/172934516-380,Beysehir
L100001078223,way/172934497-380,Konya
L100001078230,way/172934497-380,Konya
L100001078233,way/172934516-380,Beysehir
L100001078276,way/172934516-380,Beysehir
L100001078303,way/172934497-380,Konya
L100001078308,way/172934497-380,Konya
L100001078317,way/172934516-380,Beysehir
L100001078323,way/172934516-380,Beysehir
L100001078394,way/172934497-380,Konya
L100001078345,way/172934497-380,Konya
L100001078362,way/172934497-380,Konya
L100001078366,way/130740157-380,Afyonkarahisar
L100001078371,way/172934497-380,Konya
L100001077583,way/194082258-380,Erzurum
L100001077751,way/129553303-380,Diyarbakr
L100000831396,way/129553303-380,Diyarbakr
L100001077910,way/128190689-380,Elbistan
L100001078611,way/169679398-380,Amasya
L100001079468,way/128190689-380,Elbistan
L100001079598,way/128190689-380,Elbistan
L100001077769,way/169679398-380,Amasya
L100001079864,way/130740157-380,Afyonkarahisar
L100000831398,way/176009144-380,Etimesgut
L100001077611,way/176009144-380,Etimesgut
L100001077640,way/128190689-380,Elbistan
L100000831399,way/173348127-380,Corlu
L100000831400,way/172934497-380,Konya
L100001077664,way/130740157-380,Afyonkarahisar
L100001077759,way/176009144-380,Etimesgut
L100000831401,way/169679398-380,Amasya
L100000831403,way/172934497-380,Konya
L100000831404,way/172934497-380,Konya
L100001077731,way/172934497-380,Konya
L100001077812,way/130740157-380,Afyonkarahisar
L100001077850,way/130740157-380,Afyonkarahisar
L100001077942,way/130740157-380,Afyonkarahisar
L100001078139,way/130740157-380,Afyonkarahisar
L100001079352,way/130740157-380,Afyonkarahisar
L100001078273,way/130740157-380,Afyonkarahisar
L100001078363,way/130740157-380,Afyonkarahisar
L100001078414,way/130740157-380,Afyonkarahisar
L100001079101,way/130740157-380,Afyonkarahisar
L100001079391,way/130740157-380,Afyonkarahisar
L100001079563,way/130740157-380,Afyonkarahisar
L100001079721,way/130740157-380,Afyonkarahisar
L100001079955,way/130740157-380,Afyonkarahisar
L100001077895,TR44-380,Istanbul
