bus0,bus1,voltage,s_nom,length,type
way/174017677-440,BR646-440,440.0,3932.448153504379,127587.79,Al/St 240/40 4-bundle 380.0
relation/9328495-500,BR878-500,500.0,2234.345541763852,175553.49,Al/St 240/40 4-bundle 380.0
way/215284729-500,BR77-500,500.0,4468.691083527704,4013.46,Al/St 240/40 4-bundle 380.0
way/215284729-500,BR77-500,500.0,4468.691083527704,3841.23,Al/St 240/40 4-bundle 380.0
way/215284729-500,BR77-500,500.0,4468.691083527704,4189.22,Al/St 240/40 4-bundle 380.0
BR592-500,BR602-500,500.0,2234.345541763852,56622.3,Al/St 240/40 4-bundle 380.0
BR666-440,BR654-440,440.0,3932.448153504379,20221.45,Al/St 240/40 4-bundle 380.0
BR676-440,BR646-440,440.0,1966.2240767521896,145411.74,Al/St 240/40 4-bundle 380.0
way/32300871-765,way/125761912-765,765.0,5512.078490007195,335478.62,Al/St 560/50 4-bundle 750.0
relation/9328495-500,BR863-500,500.0,2234.345541763852,202033.69,Al/St 240/40 4-bundle 380.0
way/125761912-500,BR732-500,500.0,2234.345541763852,90319.53,Al/St 240/40 4-bundle 380.0
BR544-500,BR541-500,500.0,2234.345541763852,24103.43,Al/St 240/40 4-bundle 380.0
way/302931307-500,BR544-500,500.0,2234.345541763852,102605.1,Al/St 240/40 4-bundle 380.0
BR544-500,way/537470701-500,500.0,2234.345541763852,267022.87,Al/St 240/40 4-bundle 380.0
BR544-500,BR543-500,500.0,2234.345541763852,1239.43,Al/St 240/40 4-bundle 380.0
BR543-500,BR544-500,500.0,2234.345541763852,1239.34,Al/St 240/40 4-bundle 380.0
BR543-500,BR544-500,500.0,2234.345541763852,1235.83,Al/St 240/40 4-bundle 380.0
BR543-500,BR544-500,500.0,2234.345541763852,1234.05,Al/St 240/40 4-bundle 380.0
BR543-500,BR544-500,500.0,2234.345541763852,1235.57,Al/St 240/40 4-bundle 380.0
BR543-500,BR544-500,500.0,2234.345541763852,1233.99,Al/St 240/40 4-bundle 380.0
way/202622375-765,BR755-765,765.0,5512.078490007195,370431.82,Al/St 560/50 4-bundle 750.0
BR764-440,BR749-440,440.0,1966.2240767521896,41595.43,Al/St 240/40 4-bundle 380.0
BR730-440,BR716-440,440.0,1966.2240767521896,19709.31,Al/St 240/40 4-bundle 380.0
BR820-500,way/150728360-500,500.0,2234.345541763852,124084.63,Al/St 240/40 4-bundle 380.0
way/188465343-500,BR909-500,500.0,2234.345541763852,314325.08,Al/St 240/40 4-bundle 380.0
way/140181432-500,way/94745966-500,500.0,2234.345541763852,262997.03,Al/St 240/40 4-bundle 380.0
BR837-525,way/131742617-525,525.0,2346.062818852044,274294.63,Al/St 240/40 4-bundle 380.0
BR837-500,BR802-500,500.0,2234.345541763852,237030.45,Al/St 240/40 4-bundle 380.0
BR849-500,BR862-500,500.0,2234.345541763852,87639.61,Al/St 240/40 4-bundle 380.0
way/131742617-500,BR802-500,500.0,2234.345541763852,44629.37,Al/St 240/40 4-bundle 380.0
BR786-500,BR781-500,500.0,4468.691083527704,80765.21,Al/St 240/40 4-bundle 380.0
way/285044818-500,BR21-500,500.0,4468.691083527704,25263.39,Al/St 240/40 4-bundle 380.0
BR614-440,BR621-440,440.0,1966.2240767521896,24771.62,Al/St 240/40 4-bundle 380.0
BR704-440,BR708-440,440.0,3932.448153504379,4798.16,Al/St 240/40 4-bundle 380.0
BR741-440,BR764-440,440.0,3932.448153504379,86893.82,Al/St 240/40 4-bundle 380.0
BR678-440,BR746-440,440.0,3932.448153504379,178553.9,Al/St 240/40 4-bundle 380.0
