bus0,bus1,voltage,s_nom,length,type
way/93315059-380,way/39255054-380,380.0,1698.1026117405274,63883.65,Al/St 240/40 4-bundle 380.0
way/202271565-380,way/93315059-380,380.0,1698.1026117405274,17915.8,Al/St 240/40 4-bundle 380.0
way/64200868-380,way/72466334-380,380.0,1698.1026117405274,14939.58,Al/St 240/40 4-bundle 380.0
way/64200868-380,way/72466334-380,380.0,1698.1026117405274,14939.58,Al/St 240/40 4-bundle 380.0
way/93038661-380,way/98901130-380,380.0,1698.1026117405274,9860.22,Al/St 240/40 4-bundle 380.0
way/93038661-380,way/62326314-380,380.0,1698.1026117405274,42994.63,Al/St 240/40 4-bundle 380.0
way/93315059-380,way/421827453-380,380.0,1698.1026117405274,4393.67,Al/St 240/40 4-bundle 380.0
way/162960205-380,way/75947556-380,380.0,1698.1026117405274,37891.57,Al/St 240/40 4-bundle 380.0
way/74677138-380,way/772234863-380,380.0,1698.1026117405274,25256.89,Al/St 240/40 4-bundle 380.0
way/107438024-380,way/202271565-380,380.0,1698.1026117405274,6827.01,Al/St 240/40 4-bundle 380.0
way/107438024-380,way/202271565-380,380.0,1698.1026117405274,6858.18,Al/St 240/40 4-bundle 380.0
way/211180338-380,way/116518388-380,380.0,1698.1026117405274,16781.38,Al/St 240/40 4-bundle 380.0
way/116519166-380,way/116518388-380,380.0,1698.1026117405274,4250.9,Al/St 240/40 4-bundle 380.0
way/202271565-380,way/211180338-380,380.0,3396.205223481055,23721.17,Al/St 240/40 4-bundle 380.0
way/59366523-380,way/59153311-380,380.0,1698.1026117405274,18677.07,Al/St 240/40 4-bundle 380.0
way/59462263-380,IT27-380,380.0,1698.1026117405274,3333.18,Al/St 240/40 4-bundle 380.0
IT27-380,IT29-380,380.0,1698.1026117405274,2047.94,Al/St 240/40 4-bundle 380.0
IT29-380,way/58992998-380,380.0,1698.1026117405274,25985.02,Al/St 240/40 4-bundle 380.0
way/81938081-380,way/81929591-380,380.0,1698.1026117405274,84261.5,Al/St 240/40 4-bundle 380.0
way/81931074-380,way/81929591-380,380.0,1698.1026117405274,103578.73,Al/St 240/40 4-bundle 380.0
way/59556712-380,way/59366523-380,380.0,1698.1026117405274,58773.66,Al/St 240/40 4-bundle 380.0
way/59153311-380,way/81929591-380,380.0,1698.1026117405274,77924.02,Al/St 240/40 4-bundle 380.0
way/59153311-380,way/155158689-380,380.0,1698.1026117405274,41910.68,Al/St 240/40 4-bundle 380.0
way/155791516-380,way/59556712-380,380.0,1698.1026117405274,33803.28,Al/St 240/40 4-bundle 380.0
way/59556712-380,IT86-380,380.0,1698.1026117405274,4548.95,Al/St 240/40 4-bundle 380.0
IT86-380,IT66-380,380.0,1698.1026117405274,32512.46,Al/St 240/40 4-bundle 380.0
IT66-380,way/64942789-380,380.0,1698.1026117405274,3150.52,Al/St 240/40 4-bundle 380.0
way/82083756-380,way/59462263-380,380.0,1698.1026117405274,57749.07,Al/St 240/40 4-bundle 380.0
way/64942789-380,way/82083756-380,380.0,1698.1026117405274,81277.21,Al/St 240/40 4-bundle 380.0
way/84301904-380,IT73-380,380.0,1698.1026117405274,6392.78,Al/St 240/40 4-bundle 380.0
IT73-380,way/59026315-380,380.0,1698.1026117405274,24662.69,Al/St 240/40 4-bundle 380.0
way/95840602-380,way/59366523-380,380.0,1698.1026117405274,1716.71,Al/St 240/40 4-bundle 380.0
way/59153311-380,way/84301904-380,380.0,1698.1026117405274,18897.94,Al/St 240/40 4-bundle 380.0
way/59153311-380,way/84301904-380,380.0,1698.1026117405274,18897.94,Al/St 240/40 4-bundle 380.0
way/155158689-380,way/81929591-380,380.0,1698.1026117405274,38551.75,Al/St 240/40 4-bundle 380.0
way/414663585-380,way/107681459-380,380.0,1698.1026117405274,24067.96,Al/St 240/40 4-bundle 380.0
way/107681459-380,way/107683818-380,380.0,1698.1026117405274,37963.54,Al/St 240/40 4-bundle 380.0
way/107681459-380,way/107683818-380,380.0,1698.1026117405274,37963.54,Al/St 240/40 4-bundle 380.0
way/107683818-380,IT128-380,380.0,1698.1026117405274,2666.75,Al/St 240/40 4-bundle 380.0
IT128-380,way/41360305-380,380.0,1698.1026117405274,28842.81,Al/St 240/40 4-bundle 380.0
way/82084013-380,way/363469921-380,380.0,1698.1026117405274,9664.08,Al/St 240/40 4-bundle 380.0
way/78066534-380,IT106-380,380.0,1698.1026117405274,42664.31,Al/St 240/40 4-bundle 380.0
way/81931074-380,way/81938081-380,380.0,1698.1026117405274,27132.03,Al/St 240/40 4-bundle 380.0
way/81938081-380,way/158739183-380,380.0,1698.1026117405274,12213.31,Al/St 240/40 4-bundle 380.0
way/41360305-380,way/83805453-380,380.0,1698.1026117405274,62770.14,Al/St 240/40 4-bundle 380.0
way/41360305-380,way/139975773-380,380.0,1698.1026117405274,11279.85,Al/St 240/40 4-bundle 380.0
way/140715391-380,way/339703159-380,380.0,1698.1026117405274,28769.09,Al/St 240/40 4-bundle 380.0
way/143585004-380,way/74943205-380,380.0,1698.1026117405274,47415.58,Al/St 240/40 4-bundle 380.0
way/139975773-380,way/40634284-380,380.0,1698.1026117405274,14145.76,Al/St 240/40 4-bundle 380.0
way/114931087-380,way/40634284-380,380.0,1698.1026117405274,34829.64,Al/St 240/40 4-bundle 380.0
way/114931087-380,way/338453112-380,380.0,1698.1026117405274,48786.35,Al/St 240/40 4-bundle 380.0
way/139975773-380,way/527885953-380,380.0,1698.1026117405274,8325.11,Al/St 240/40 4-bundle 380.0
way/81931074-380,way/74943205-380,380.0,1698.1026117405274,95866.44,Al/St 240/40 4-bundle 380.0
way/363469921-380,way/81938081-380,380.0,1698.1026117405274,60037.86,Al/St 240/40 4-bundle 380.0
way/81931074-380,way/143585004-380,380.0,1698.1026117405274,47472.14,Al/St 240/40 4-bundle 380.0
way/81931074-380,way/81938081-380,380.0,1698.1026117405274,18667.13,Al/St 240/40 4-bundle 380.0
way/81938081-380,way/149997403-380,380.0,1698.1026117405274,8687.68,Al/St 240/40 4-bundle 380.0
