bus0,bus1,voltage,s_nom,length,type
way/89636510-220,NZ33-220,220.0,491.5560191880474,2070.21,Al/St 240/40 2-bundle 220.0
way/89637174-220,NZ39-220,220.0,491.5560191880474,6752.74,Al/St 240/40 2-bundle 220.0
way/270012796-220,NZ30-220,220.0,491.5560191880474,1660.31,Al/St 240/40 2-bundle 220.0
way/270012796-220,NZ30-220,220.0,491.5560191880474,1660.3,Al/St 240/40 2-bundle 220.0
way/93556808-220,way/270022030-220,220.0,983.1120383760948,218384.83,Al/St 240/40 2-bundle 220.0
way/191346761-220,NZ23-220,220.0,983.1120383760948,31736.27,Al/St 240/40 2-bundle 220.0
way/167705537-220,NZ27-220,220.0,491.5560191880474,1930.6,Al/St 240/40 2-bundle 220.0
NZ27-220,way/167705537-220,220.0,491.5560191880474,1930.6,Al/St 240/40 2-bundle 220.0
way/33795353-220,way/93827784-220,220.0,983.1120383760948,418714.96,Al/St 240/40 2-bundle 220.0
way/95344674-220,relation/17609399-220,220.0,983.1120383760948,270091.91,Al/St 240/40 2-bundle 220.0
NZ11-220,NZ6-220,220.0,983.1120383760948,110765.22,Al/St 240/40 2-bundle 220.0
NZ5-220,NZ3-220,220.0,983.1120383760948,49755.84,Al/St 240/40 2-bundle 220.0
NZ5-220,NZ6-220,220.0,491.5560191880474,1077.59,Al/St 240/40 2-bundle 220.0
NZ2-220,way/156094589-220,220.0,983.1120383760948,19113.24,Al/St 240/40 2-bundle 220.0
NZ2-220,NZ3-220,220.0,491.5560191880474,2296.58,Al/St 240/40 2-bundle 220.0
NZ3-220,NZ2-220,220.0,491.5560191880474,2296.7,Al/St 240/40 2-bundle 220.0
way/627162826-220,NZ26-220,220.0,491.5560191880474,5336.55,Al/St 240/40 2-bundle 220.0
way/409049317-220,way/93419960-220,220.0,983.1120383760948,18625.52,Al/St 240/40 2-bundle 220.0
NZ18-220,way/89411122-220,220.0,983.1120383760948,2431.78,Al/St 240/40 2-bundle 220.0
way/167285336-220,way/95344674-220,220.0,983.1120383760948,155182.58,Al/St 240/40 2-bundle 220.0
NZ6-220,NZ5-220,220.0,491.5560191880474,1077.48,Al/St 240/40 2-bundle 220.0
way/167300914-220,NZ25-220,220.0,491.5560191880474,2314.98,Al/St 240/40 2-bundle 220.0
way/167177413-220,NZ8-220,220.0,491.5560191880474,1644.28,Al/St 240/40 2-bundle 220.0
way/275188676-220,way/87837416-220,220.0,983.1120383760948,84403.42,Al/St 240/40 2-bundle 220.0
way/167285260-220,NZ15-220,220.0,983.1120383760948,24616.16,Al/St 240/40 2-bundle 220.0
way/275188676-220,NZ15-220,220.0,491.5560191880474,1614.61,Al/St 240/40 2-bundle 220.0
way/275188676-220,NZ15-220,220.0,491.5560191880474,1614.48,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/75609279-220,220.0,491.5560191880474,14554.39,Al/St 240/40 2-bundle 220.0
way/87897292-220,way/75609279-220,220.0,983.1120383760948,14649.39,Al/St 240/40 2-bundle 220.0
way/1167708390-220,way/1026587442-220,220.0,983.1120383760948,42201.65,Al/St 240/40 2-bundle 220.0
NZ30-220,way/270012796-220,220.0,491.5560191880474,1660.3,Al/St 240/40 2-bundle 220.0
NZ30-220,way/270012796-220,220.0,491.5560191880474,1660.3,Al/St 240/40 2-bundle 220.0
NZ30-220,way/270012796-220,220.0,491.5560191880474,1660.29,Al/St 240/40 2-bundle 220.0
way/26671244-220,way/61853727-220,220.0,983.1120383760948,20738.87,Al/St 240/40 2-bundle 220.0
NZ1-220,way/87897292-220,220.0,491.5560191880474,1791.56,Al/St 240/40 2-bundle 220.0
way/87897292-220,NZ1-220,220.0,491.5560191880474,1791.54,Al/St 240/40 2-bundle 220.0
NZ17-220,way/1034927052-220,220.0,491.5560191880474,4260.49,Al/St 240/40 2-bundle 220.0
way/1034927052-220,way/167285260-220,220.0,983.1120383760948,24984.58,Al/St 240/40 2-bundle 220.0
way/90092620-220,NZ42-220,220.0,983.1120383760948,13044.25,Al/St 240/40 2-bundle 220.0
NZ36-220,way/89636266-220,220.0,491.5560191880474,2985.22,Al/St 240/40 2-bundle 220.0
way/167300914-220,way/1167708390-220,220.0,983.1120383760948,20317.55,Al/St 240/40 2-bundle 220.0
way/1099619174-220,way/33795353-220,220.0,491.5560191880474,173367.44,Al/St 240/40 2-bundle 220.0
way/412589726-220,NZ41-220,220.0,491.5560191880474,4759.96,Al/St 240/40 2-bundle 220.0
NZ22-220,NZ21-220,220.0,491.5560191880474,2663.45,Al/St 240/40 2-bundle 220.0
NZ31-220,NZ34-220,220.0,491.5560191880474,107803.11,Al/St 240/40 2-bundle 220.0
NZ13-220,way/167283894-220,220.0,491.5560191880474,58898.65,Al/St 240/40 2-bundle 220.0
way/341099346-220,way/156094589-220,220.0,491.5560191880474,12850.69,Al/St 240/40 2-bundle 220.0
