bus0,bus1,voltage,s_nom,r,x,b,length,type
way/29331499-220,way/27149550-220,220,491.556,4.087918,20.507723,0.00026755,68131.97,Al/St 240/40 2-bundle 220.0
way/63114179-380,way/68549340-380,380,1698.103,0.356664,2.924645,5.15e-05,11888.8,Al/St 240/40 4-bundle 380.0
way/63114179-220,DE98-220,220,491.556,0.304006,1.525095,1.99e-05,5066.76,Al/St 240/40 2-bundle 220.0
way/26260052-380,DE195-380,380,3396.205,0.026792,0.219695,1.55e-05,1786.14,Al/St 240/40 4-bundle 380.0
way/29077623-220,way/23022100-220,220,983.112,0.262905,1.318905,6.88e-05,8763.49,Al/St 240/40 2-bundle 220.0
way/25786404-220,way/97825259-220,220,983.112,0.106394,0.533742,2.79e-05,3546.46,Al/St 240/40 2-bundle 220.0
way/23084554-380,way/22765517-380,380,1698.103,0.373654,3.063964,5.4e-05,12455.14,Al/St 240/40 4-bundle 380.0
way/23084554-220,way/22765517-220,220,491.556,0.746991,3.747405,4.89e-05,12449.85,Al/St 240/40 2-bundle 220.0
way/143903369-380,way/1327333163-380,380,1698.103,0.555714,4.556855,8.03e-05,18523.8,Al/St 240/40 4-bundle 380.0
DE179-220,way/1327333163-220,220,491.556,1.261735,6.329705,8.26e-05,21028.92,Al/St 240/40 2-bundle 220.0
way/27149550-380,DE25-380,380,1698.103,0.136047,1.115583,1.97e-05,4534.89,Al/St 240/40 4-bundle 380.0
way/97825259-380,DE191-380,380,3396.205,0.189147,1.551008,0.00010934,12609.82,Al/St 240/40 4-bundle 380.0
way/29331499-220,way/22973052-220,220,983.112,1.154892,5.79371,0.00030235,38496.41,Al/St 240/40 2-bundle 220.0
way/31367940-380,way/25306752-380,380,1698.103,3.377242,27.693381,0.00048806,112574.72,Al/St 240/40 4-bundle 380.0
way/31367940-220,way/25306752-220,220,491.556,6.753882,33.881975,0.00044204,112564.7,Al/St 240/40 2-bundle 220.0
DE64-220,way/42507488-220,220,491.556,0.096799,0.485606,6.34e-06,1613.31,Al/St 240/40 2-bundle 220.0
way/11285720-380,DE12-380,380,3396.205,0.05333,0.437306,3.08e-05,3555.33,Al/St 240/40 4-bundle 380.0
DE124-380,way/22761839-380,380,3396.205,0.110377,0.905093,6.38e-05,7358.48,Al/St 240/40 4-bundle 380.0
