bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
DE168-380,380,f,Substation,f,DE168,8.530958454372138,49.853147768513466,DE
DE169-220,220,f,Substation,f,DE169,9.567928599999997,49.82068279370719,DE
DE17-380,380,f,Substation,f,DE17,8.598541499999998,53.085914095167446,DE
DE170-380,380,f,Substation,f,DE170,6.7934258000000005,49.819266993706485,DE
DE171-220,220,f,Substation,f,DE171,7.792890699999999,49.81114489370225,DE
DE172-220,220,f,Substation,f,DE172,6.567516277452604,49.79945160670088,DE
DE172-380,380,f,Substation,f,DE172,6.5677970450014245,49.799651027081495,DE
DE173-220,220,f,Substation,f,DE173,6.5772128171996425,49.76943400223032,DE
DE174-220,220,f,Substation,f,DE174,8.392470699999999,49.56774289357407,DE
DE175-220,220,f,Substation,f,DE175,6.608589541699304,49.49156779825279,DE
DE176-220,220,f,Substation,f,DE176,8.689449300000009,49.33602339344944,DE
DE177-220,220,f,Substation,f,DE177,6.795921421673397,49.3346812478471,DE
DE178-380,380,f,Substation,f,DE178,8.628900499999997,49.333406893448,DE
DE179-220,220,f,Substation,f,DE179,9.0735161,49.31193539343632,DE
DE18-220,220,f,Substation,f,DE18,11.881079431940847,53.0832684852887,DE
DE18-380,380,f,Substation,f,DE18,11.881404168759818,53.08345409998995,DE
DE180-220,220,f,Substation,f,DE180,8.753029900000008,49.30962609343516,DE
DE181-380,380,f,Substation,f,DE181,8.670099300000002,49.30920229343483,DE
DE182-380,380,f,Substation,f,DE182,8.605843,49.16169079335401,DE
DE183-220,220,f,Substation,f,DE183,8.321627000000001,49.04169159328748,DE
DE184-380,380,f,Substation,f,DE184,9.084433400000014,48.95320199323796,DE
DE185-380,380,f,Substation,f,DE185,9.0757491,48.94575389323381,DE
DE186-380,380,f,Substation,f,DE186,8.821979499999996,48.93937229323025,DE
DE187-380,380,f,Substation,f,DE187,8.834209800000007,48.92815939322391,DE
DE188-380,380,f,Substation,f,DE188,9.3025725,48.88318119319853,DE
DE189-380,380,f,Substation,f,DE189,9.293608299999992,48.866349193189045,DE
DE19-380,380,f,Substation,f,DE19,12.012298350100128,53.06999993468651,DE
DE190-380,380,f,Substation,f,DE190,9.240364100000008,48.863234993187255,DE
DE191-380,380,f,Substation,f,DE191,9.339747700000004,48.84354569317607,DE
DE192-380,380,f,Substation,f,DE192,9.394077899999992,48.71817519310462,DE
DE193-380,380,f,Substation,f,DE193,9.403327700000004,48.71042649310026,DE
DE194-220,220,f,Substation,f,DE194,8.1001077,48.70706109309824,DE
DE195-380,380,f,Substation,f,DE195,9.421214407006266,48.675394659150975,DE
DE196-380,380,f,Substation,f,DE196,8.871814800000006,48.62833039305301,DE
DE197-380,380,f,Substation,f,DE197,9.350048555462116,48.60906050564282,DE
DE198-380,380,f,Substation,f,DE198,9.240195959076797,48.54315024620423,DE
DE199-380,380,f,Substation,f,DE199,9.218223099999994,48.53246029299748,DE
DE2-220,220,f,Substation,f,DE2,14.0307483,54.783070095753125,DE
DE20-380,380,f,Substation,f,DE20,7.184385349666274,52.75621644508972,DE
DE200-380,380,f,Substation,f,DE200,10.234677200000004,48.43467519294032,DE
DE201-220,220,f,Substation,f,DE201,12.865139100000006,48.32958149287843,DE
DE202-220,220,f,Substation,f,DE202,10.054533069019923,48.311093831843856,DE
DE202-380,380,f,Substation,f,DE202,10.054819131520368,48.31128454656972,DE
DE203-220,220,f,Substation,f,DE203,12.997148933909996,48.29457129802581,DE
DE204-220,220,f,Substation,f,DE204,13.06402677685504,48.29442831435997,DE
DE205-220,220,f,Substation,f,DE205,10.064779958538857,48.27253944347285,DE
DE205-380,380,f,Substation,f,DE205,10.065065841439525,48.27273013492908,DE
DE206-220,220,f,Substation,f,DE206,13.055761459215091,48.27020226512334,DE
DE207-380,380,f,Substation,f,DE207,8.627626158494797,48.05668046442978,DE
DE208-380,380,f,Substation,f,DE208,8.588787199999995,48.04535759270832,DE
DE209-380,380,f,Substation,f,DE209,8.5305556,47.91484819262888,DE
DE21-220,220,f,Substation,f,DE21,13.210344876918468,52.68001801809485,DE
DE211-220,220,f,Substation,f,DE211,11.304534899999997,47.65462729246806,DE
DE212-220,220,f,Substation,f,DE212,11.3365743,47.62954239245231,DE
DE213-380,380,f,Substation,f,DE213,7.995386199999997,47.57836749242024,DE
DE22-220,220,f,Substation,f,DE22,13.476256882761762,52.62953995587491,DE
DE22-380,380,f,Substation,f,DE22,13.47658491792345,52.629721228868696,DE
DE23-220,220,f,Substation,f,DE23,13.514687663256847,52.61931967881269,DE
DE23-380,380,f,Substation,f,DE23,13.515015780259755,52.61950084610143,DE
DE24-220,220,f,Substation,f,DE24,13.53345590337756,52.61919433466993,DE
DE24-380,380,f,Substation,f,DE24,13.533784097307294,52.61937545006107,DE
DE25-380,380,f,Substation,f,DE25,12.907673900000004,52.59692919497796,DE
DE26-380,380,f,Substation,f,DE26,13.6798066,52.58468839497303,DE
DE27-220,220,f,Substation,f,DE27,13.69435389815123,52.560387557993344,DE
DE27-380,380,f,Substation,f,DE27,13.694682311097775,52.56056823104892,DE
DE28-380,380,f,Substation,f,DE28,9.001267699999987,52.53951469495493,DE
DE29-220,220,f,Substation,f,DE29,11.768527620879372,52.50430071600865,DE
DE3-220,220,f,Substation,f,DE3,13.936199110012511,54.75831769723423,DE
DE30-220,220,f,Substation,f,DE30,8.401864309686182,52.49658070774699,DE
DE30-380,380,f,Substation,f,DE30,8.40216969098227,52.49677547687124,DE
DE31-380,380,f,Substation,f,DE31,7.4129489,52.4701047949272,DE
DE32-220,220,f,Substation,f,DE32,8.325695000000001,52.45700399492188,DE
DE33-380,380,f,Substation,f,DE33,8.3057941,52.43941219491475,DE
DE34-380,380,f,Substation,f,DE34,8.30848299999999,52.40315969490005,DE
DE35-220,220,f,Substation,f,DE35,8.297912629304594,52.38157647464085,DE
DE35-380,380,f,Substation,f,DE35,8.298216771359208,52.381771509839126,DE
DE36-220,220,f,Substation,f,DE36,10.18464390000001,52.305265494860215,DE
DE37-220,220,f,Substation,f,DE37,7.880745500000001,52.2656879948439,DE
DE38-220,220,f,Substation,f,DE38,8.112312600000005,52.24362339483483,DE
DE39-220,220,f,Substation,f,DE39,7.371973400000006,52.19769579481588,DE
DE4-220,220,f,Substation,f,DE4,10.204131200000008,54.3407326956108,DE
DE40-220,220,f,Substation,f,DE40,10.24758678286427,52.18899105169926,DE
DE41-380,380,f,Substation,f,DE41,7.381831,52.17897039480806,DE
DE42-220,220,f,Substation,f,DE42,8.211620500000004,52.17861839480798,DE
DE43-220,220,f,Substation,f,DE43,10.357135489726351,52.176049510366006,DE
DE44-380,380,f,Substation,f,DE44,10.976122900000004,52.16974479480431,DE
DE45-380,380,f,Substation,f,DE45,7.398618100000006,52.16873389480384,DE
DE46-380,380,f,Substation,f,DE46,14.511216499999996,52.16161529480087,DE
DE47-220,220,f,Substation,f,DE47,11.563276899999993,52.124147794785216,DE
DE49-380,380,f,Substation,f,DE49,9.41271527249918,52.02804270635611,DE
DE5-380,380,f,Substation,f,DE5,12.1304799,54.14085959554418,DE
DE50-380,380,f,Substation,f,DE50,6.967004700000009,52.00760219473637,DE
DE51-220,220,f,Substation,f,DE51,8.680718799999992,51.99684189473182,DE
DE52-220,220,f,Substation,f,DE52,8.629078399999985,51.9945208947308,DE
DE53-380,380,f,Substation,f,DE53,7.484673305520821,51.95615717503612,DE
DE54-380,380,f,Substation,f,DE54,6.945454899999993,51.92675029470207,DE
DE55-220,220,f,Substation,f,DE55,9.85241629999999,51.89876529469019,DE
DE56-380,380,f,Substation,f,DE56,7.637269099999995,51.88868729468584,DE
DE57-380,380,f,Substation,f,DE57,9.926370324367593,51.881993552449,DE
DE58-380,380,f,Substation,f,DE58,14.45775273344266,51.83403498473167,DE
DE59-220,220,f,Substation,f,DE59,9.852475300000002,51.81831119465564,DE
DE6-380,380,f,Substation,f,DE6,9.355730799999998,53.87834329545442,DE
DE60-220,220,f,Substation,f,DE60,9.875931200000007,51.764669394632485,DE
DE61-380,380,f,Substation,f,DE61,7.833887760914512,51.75348916138916,DE
DE62-220,220,f,Substation,f,DE62,6.52533728965271,51.75308878700897,DE
DE62-380,380,f,Substation,f,DE62,6.525629559756923,51.753288271209264,DE
DE63-220,220,f,Substation,f,DE63,8.7391058,51.70055739460472,DE
DE64-220,220,f,Substation,f,DE64,7.700869699999995,51.69036949460023,DE
DE65-380,380,f,Substation,f,DE65,7.6098655000000015,51.68884639459952,DE
DE66-220,220,f,Substation,f,DE66,6.85591237570751,51.67963525839918,DE
DE66-380,380,f,Substation,f,DE66,6.856205624925336,51.679833925205166,DE
DE67-220,220,f,Substation,f,DE67,6.669634143086209,51.67612267825752,DE
DE67-380,380,f,Substation,f,DE67,6.66992655894359,51.67632180650142,DE
DE68-220,220,f,Substation,f,DE68,7.456434435974102,51.66014680700699,DE
DE68-380,380,f,Substation,f,DE68,7.456730164660637,51.66034397656832,DE
DE69-220,220,f,Substation,f,DE69,7.36765610861443,51.62877255000522,DE
DE69-380,380,f,Substation,f,DE69,7.367951253449136,51.62896994231025,DE
DE7-220,220,f,Substation,f,DE7,9.459677499999998,53.8646574954497,DE
DE70-220,220,f,Substation,f,DE70,6.629761909674587,51.61427907310992,DE
DE70-380,380,f,Substation,f,DE70,6.630053763576091,51.614478300399696,DE
DE71-220,220,f,Substation,f,DE71,7.475849800000004,51.61382509456671,DE
DE72-220,220,f,Substation,f,DE72,7.343713399999998,51.61310499456639,DE
DE73-220,220,f,Substation,f,DE73,6.646240660261792,51.6070171984416,DE
DE73-380,380,f,Substation,f,DE73,6.646532540367632,51.60721638506907,DE
DE74-220,220,f,Substation,f,DE74,6.659488155160946,51.5994483147769,DE
DE74-380,380,f,Substation,f,DE74,6.659780045468268,51.5996474687237,DE
DE75-380,380,f,Substation,f,DE75,7.369900799999997,51.58694899455495,DE
DE76-380,380,f,Substation,f,DE76,6.929913725913345,51.56483614994612,DE
DE77-220,220,f,Substation,f,DE77,6.703760587789809,51.558300369301975,DE
DE77-380,380,f,Substation,f,DE77,6.704052412838204,51.55849941414412,DE
DE78-220,220,f,Substation,f,DE78,7.021038269084751,51.55608637634512,DE
DE79-220,220,f,Substation,f,DE79,6.650768450004166,51.55370064458376,DE
DE8-380,380,f,Substation,f,DE8,9.637989699999997,53.64264779537163,DE
DE80-220,220,f,Substation,f,DE80,7.134048217373065,51.55227497738623,DE
DE80-380,380,f,Substation,f,DE80,7.13434186775489,51.552472954014846,DE
DE81-220,220,f,Substation,f,DE81,7.109538699999998,51.550009294538654,DE
DE82-220,220,f,Substation,f,DE82,7.091648142029213,51.52622709714922,DE
DE83-220,220,f,Substation,f,DE83,6.812529400000006,51.52018529452543,DE
